Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
USA,2009,Florida,"Jupiter, Palm Beach County",Surfing,M,22,Foot bitten,N,other,11
USA,2009,Florida,"Jupiter, Palm Beach County",Surfing,F,27,Foot bitten,N,other,11
USA,2009,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Foot bitten,N,4' shark,11
AUSTRALIA,2009,South Australia,Second Valley,Kayaking,M,25,Ankle bitten,N,2 m shark,11
USA,2009,California,"Davenport, Santa Cruz County",Surfing,M,21,"No injury, board broken in half",N,other,11
MOZAMBIQUE,2009,Inhambane Province,Off Vilanculo,Spearfishing,M,0,Left ankle & foot bitten,N,Zambesi shark,10
AUSTRALIA,2009,New South Wales,Lennox Heads,Paddle-boarding,F,17,"No injury, shark bit rear of paddleboard",N,other,10
USA,2009,California,"San Onofre, San Diego County ",Surfing,M,0,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,other,10
USA,2009,Hawaii,"Kalama Park, Maui",Surfing,M,54,Bitten on upper right thigh & right ankle,N,6' to 8' shark,10
PANAMA,2009,Bocas,Playa La Cabaña ,Wading,F,10,Arm & torso bitten,N,other,10
AUSTRALIA,2009,Western Australia,other,Diving,M,23,Severe lacerations to lower right leg,N,"Bull shark, 10'",10
USA,2009,California,"San Onofre State Beach, San Diego County",Surfing,M,0,Laceration to shin of left leg,N,other,10
USA,2009,Florida,"Key Colony Beach, Monroe County",Swimming,M,0,Laceration to right foot,N,"Bull shark, 8'",9
VIETNAM,2009,other,other,other,M,0,Lower right leg bitten,N,other,9
BRAZIL,2009,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",M,15,FATAL,Y,other,9
USA,2009,California,"Huntington Beach, Orange County",Surfing,M,0,No injury,N,4' shark,8
SOUTH AFRICA,2009,Western Cape Province,Glentana,Surfing,M,25,FATAL,Y,White shark,8
USA,2009,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,22,Puncture wounds to left foot & calf,N,"White shark, 5' to 6' juvenile ",8
SOUTH AFRICA,2009,KwaZulu-Natal,Alkantstrand ,Body boarding,M,0,"No injury, shark bit bodyboard",N,"White shark, 2m",8
USA,2009,Florida,"Ponce, Volusia County",Swimming,M,26,Puncture marks on left foot,N,other,8
USA,2009,Hawaii,Kawa'a ,Surfing,M,0,"No injury, surfboard bitten",N,"Tiger shark, 12",8
USA,2009,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56,Right ankle & foot bitten,N,Bull shark?,8
BAHAMAS,2009,Abaco Islands,Spanish Cay,Spearfishing,M,14,Lacerations to calf,N,Bull shark,7
AUSTRALIA,2009,New South Wales,Broken Head,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,other,7
VIETNAM,2009,Binh Dinh Province,Quy Nhon ,Swimming,F,41,Foot bitten,N,other,7
KENYA,2009,Mombasa,Likoni Channel,Washing his feet,M,0,FATAL,Y,other,7
USA,2009,Texas,South Padre Island,Wading,F,14,Lacerations to anterior left lower leg,N,other,7
USA,2009,North Carolina,Holden Beach. Brunswick County,Swimming,F,26,Laceration to left foot,N,other,7
USA,2009,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,19,Laceration to lower right leg,N,other,7
VIETNAM,2009,Binh Dinh Province,Quy Nhon ,Swimming,M,57,Severe bite to right leg,N,other,7
USA,2009,California,"San Onofre, San Diego County ",Paddle-surfing,M,0,"No injury, shark collided with surfer & board",N,5' shark,7
SOUTH AFRICA,2009,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,37,Leg bitten,N,other,7
USA,2009,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12,Right ankle bitten,N,other,7
AUSTRALIA,2009,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,2-inch laceration to upper left arm,N,"Thought to involve a Bronze whale shark, 2m",6
EGYPT,2009,St. Johns Reef,Habili Gafar,Scuba diving,M,0,Lacerations to left hand,N,Oceanic whitetip shark,6
EGYPT,2009,St. Johns Reef,Habili Gafar,Scuba diving,M,0,3 cm laceration to shoulder,N,Oceanic whitetip shark,6
EGYPT,2009,St. Johns Reef,Habili Gafar,Snorkeling,F,50,FATAL,Y,"Oceanic whitetip shark, 2.5 to 3m",6
USA,2009,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Lacerations to left leg & foot,N,blacktip or spinner shark,5
USA,2009,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,Lacerations to right foot,N,blacktip or spinner shark,5
USA,2009,Florida,"New Smyrna Beach, Volusia County",Surfing,M,55,Lacerations to right hand,N,blacktip or spinner shark,5
USA,2009,Florida,"St. Augustine, St. John's County",other,F,0,Multiple lacerations to right foot & ankle,N,other,4
USA,2009,California,"San Onofre State Beach, San Diego County",Surfing,M,0,No injury,N,other,4
USA,2009,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,3 puncture wounds to posterior right ankle,N,other,4
PHILIPPINES,2009,Batangas province,Mabini,Swimming,M,23,Legs bitten,N,other,4
USA,2009,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,52,Left foot bitten,N,other,4
USA,2009,Florida,"Walton Rocks, St Lucie County",Surfing,M,31,Laceration to forearm,N,2' to 3' shark,4
AUSTRALIA,2009,New South Wales,Fingal Bay,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,2' to 3' shark,4
USA,2009,California,San Diego County,Spearfishing,M,0,Shark struck him but the diver was not injured,N,"White shark, 12' to 15' female",4
USA,2009,Florida,"Sanibel Island, Lee County",Wading,M,15,Lacerations to right foot and ankle,N,other,4
SOUTH AFRICA,2009,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,other,3
AUSTRALIA,2009,New South Wales,Blue Bay,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,Bronze whaler shark?,3
AUSTRALIA,2009,New South Wales,South Broulee,Surfing,M,0,"No injury, shark damaged surfboard",N,other,3
AUSTRALIA,2009,New South Wales,Bateman's Bay,Surfing,F,0,"No injury, shark bit nose of surfboard",N,other,3
USA,2009,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,Minor bite to ankle,N,3' to 4' shark,3
MALAYSIA,2009,Strait of Malacca,Pulau Payar Island,Feeding fish,F,0,Minor injury,N,Blacktip reef shark pup,3
USA,2009,Hawaii,Alenuihaha Channel,Swimming,M,61,"Minor injury, bite chest and left calf",N,Thought to involve a cookie cutter shark,3
NEW CALEDONIA,2009,South Province,Bourail,Surfing,M,19,FATAL,Y,other,3
AUSTRALIA,2009,New South Wales,Avalon,Surfing,M,15,Lacerations to leg,N,2.6 m shark,3
AUSTRALIA,2009,Queensland,Batt Reef,Fishing,M,0,Severe laceration to finger,N,other,2
AUSTRALIA,2009,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,0,"No injury to surfer, but the nose of his board was broken",N,other,2
AUSTRALIA,2009,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,Severe injury to hand ,N,"White shark, 2.5m ",2
AUSTRALIA,2009,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,"Bull shark, 2.7 m ",2
AUSTRALIA,2009,New South Wales,Cellito Beach,Surfing,M,41,"No injury, surfboard dented",N,"White shark, 12' ",2
AUSTRALIA,2009,New South Wales,Sandon,Surfing,M,0,"No injury, flung from surfboard by the shark",N,other,2
CUBA,2009,Guantanamo Province,Guantanamo Bay,Spearfishing,M,15,Severe lacerations to lower left leg,N,Bull shark,1
AUSTRALIA,2009,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,Hand injured,N,other,1
SOUTH AFRICA,2009,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,25,FATAL,Y,Tiger shark,1
NEW ZEALAND,2009,South Island,Karitane Beach,Surfing,M,0,"No injury, bumped off board by the shark",N,other,1
SOUTH AFRICA,2009,Western Cape Province,"Shark Alley, off Gansbaai",other,UNKNOWN,0,FATAL,Y,White sharks,1
AUSTRALIA,2009,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,Puncture wounds to right calf,N,"Dusky shark, 2m",1
AUSTRALIA,2009,Tasmania,Binalong Bay,Surfing,F,13,Severe lacerations to right leg,N,"White shark, 5m",1
AUSTRALIA,2009,New South Wales,Fingal Beach,Surfing,M,31,Left thigh severely bitten,N,"White shark, 3.5m",1
ECUADOR,2009,Galapagos Islands,Isla Isabella,Surfing,M,22,Right lower leg bitten & defense wounds to hand,N,other,1
NEW ZEALAND,2009,North Island,Haumoana ,Swimming,M,49,Posterior thigh bitten,N,Broadnose sevengill shark,1
CUBA,2009,Guantanamo Province,Guantanamo,Spearfishing,UNKNOWN,0,Lacerations to right calf,N,Bull shark,1
AUSTRALIA,2008,New South Wales,Seal Rocks,Boogie Boarding,M,10,"No injury, shark tore his swim fin",N,other,12
AUSTRALIA,2008,Western Australia,Port Kennedy Beach,Snorkeling,M,51,FATAL,Y,4 to 5m white shark,12
NEW ZEALAND,2008,North Island,Maraetai,Fishing,M,0,Lacerations to left calf and ankle,N,Bronze whaler shark?,12
MOZAMBIQUE,2008,Inhambane Province,Chidenguele,Spearfishing,M,0,FATAL,Y,Zambesi shark?,12
EGYPT,2008,Red Sea,Elphinstone Reef,Scuba diving,F,0,Lacerations to fingers,N,Oceanic whitetip shark,11
ECUADOR,2008,Galapagos Islands,Santa Cruz,other,F,0,Leg bitten,N,other,11
PHILIPPINES,2008,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Torso & righ arm bitten FATAL,Y,other,11
NEW CALEDONIA,2008,other,other,Spearfishing,M,24,Legs bitten,N,Lemon shark,10
AUSTRALIA,2008,New South Wales,Lake Macquarie,Surfing,M,15,"No injury, board damaged",N,other,10
USA,2008,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,Lacerations,N,other,10
CROATIA,2008," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,43,Calf bitten,N,5 m white shark,10
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,44,Small puncture wounds to the heel of left foot,N,other,9
USA,2008,Florida,Bethune Beach,Surfing,M,40,Right foot bitten,N,+3' shark,9
USA,2008,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,Lacerations to foot,N,2' to 3' juvenile shark,9
USA,2008,Hawaii,"Ka'a'awa, Oahu",Surfing,M,40,Bitten on right thigh & calf,N,Tiger shark,9
USA,2008,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,0,"No injury to surfer, board bitten",N,"White shark, 14' to 16' ",9
AUSTRALIA,2008,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,3 m shark,9
USA,2008,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,Minor injury to foot,N,other,9
USA,2008,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to foot,N,other,9
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,Shark bumped right ankle,N,4' shark,9
USA,2008,Florida,Hutchinson Island,Surfing,M,0,Right hand bitten,N,other,9
AUSTRALIA,2008,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,"No injury, bumped off board by the shark",N,other,8
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Superfical cut to left ankle,N,other,8
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Lacerations to lower left leg,N,6' shark,8
USA,2008,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,Minor injury to left foot,N,other,8
USA,2008,Florida,"Sanibel Island, Lee County",Swimming,M,47,3 lacerations to forearm,N,other,8
USA,2008,US Virgin Islands,Buck Island,Treading water,F,38,Severe lacerations to left foot,N,8' bull shark or Caribbean reef shark,8
USA,2008,Florida,"New Smyrna Beach, Volusia County",Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,other,8
USA,2008,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,0,"No injury, shark grabbed his bag of fish",N,"Tiger shark, 12'",8
AUSTRALIA,2008,Victoria,Levys Beach,Surfing,M,31,"No injury, surfboard leash severed",N,8' white shark or 7-gill shark,7
SOUTH AFRICA,2008,other,other,other,M,0,Lacerations to fingers,N,White shark,7
PANAMA,2008,San Carlos,Playa Teta,Swimming or surfing,M,0,5 lacerations to left foot,N,3'  shark,7
MEXICO,2008,Cabo San Lucas,other,Swimming,M,33,3 puncture wounds to toe,N,2'  shark,7
USA,2008,Hawaii,"Honokowai, Maui",Swimming,M,0,Minor injury,N,2' to 3' reef shark,7
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot bitten,N,other,7
USA,2008,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,44,Forearm bitten ,N,other,7
USA,2008,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,9,Minor lacerations to  toe,N,3' shark,7
USA,2008,North Carolina,"Topsail Island, Pender County",Wading,F,8,Lacerations to dorsum of right foot ,N,3' to 4' shark,7
USA,2008,Florida,"New Smyrna Beach, Volusia County",Wading,M,16,Lacerations to lower left leg,N,4' shark,7
EGYPT,2008,other,Daedalus Reef,Diving,M,0,Leg severed,N,Oceanic whitetip shark,7
USA,2008,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,Laceration to foream,N,other,7
USA,2008,North Carolina,"Emerald Isle, Carteret County",Swimming,F,14,Lacerations to  right foot,N,other,7
USA,2008,South Carolina,"Litchfield Beach, Georgetown County",other,F,17,Lacerations to right foot,N,other,7
BAHAMAS,2008,Abaco Islands,other,Spearfishing,M,42,Lacerations to calf,N,"Bull shark, 6' to 7'",6
SOUTH AFRICA,2008,Western Cape Province,Mossel Bay,Surf skiing ,M,46,"No injury, ski bitten",N,"White shark, 2m",6
SOUTH AFRICA,2008,Western Cape Province,Struis Bay,Spearfishing (free diving),M,0,No injury,N,"White shark, 4.5m",6
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Minor laceration to foot,N,other,6
USA,2008,South Carolina,"Isle of Palms, Charleston County",Swimming,M,37,Lacerations to hand,N,4.5 to 5' shark,6
BRAZIL,2008,Bahia,Guarajuba,Surfing,M,0,"No injury, board bitten",N,other,6
USA,2008,Florida,"Fernandina Beach, Nassau County",Wading,F,35,Lacerations to lower right calf,N,other,6
BRAZIL,2008,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,14,Laceration to left leg & foot,N,other,6
USA,2008,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,40,Lacerations & abrasions to right hand,N,other,6
USA,2008,South Carolina,Cherry Grove,Body surfing,F,15,Foot bitten,N,5' shark,6
BRAZIL,2008,Pernambuco,"Piedade, Recife",Swimming,M,14,"Hand severed, buttocks bitten",N,Bull shark,6
USA,2008,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,9,Biceps & lower arm bitten,N,other,5
MEXICO,2008,Guerro,Playa Linda,Surfing,M,49,Lacerations to right forearm and hand,N,3 m shark,5
MEXICO,2008,Guerro,Pantla Beach,Surfing,M,21,FATAL,Y,2 m shark,5
FIJI,2008,Yasawa Islands,Turtle Island,Night diving,M,28,FATAL,Y,other,5
AUSTRALIA,2008,Western Australia,Albany,Swimming,M,37,Severe lacerations to left leg,N,"White shark, 4m",5
NEW CALEDONIA,2008,North Province,Hienghène,Fishing,M,40,Lower legs bitten,N,2 small bull sharks,5
USA,2008,Florida,"New Smyrna Beach, Volusia County",Wading,M,6,2 inch laceration to left lower calf.,N,other,5
MEXICO,2008,Guerro,Troncones Beach,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Tiger shark,4
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,4' shark,4
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Calf bitten,N,other,4
NEW CALEDONIA,2008,North Province,Poindimié,Swimming,M,32,Lacerations to left foot,N,"Bull shark, 1.8m",4
USA,2008,California,"Solana Beach, San Diego County",Swimming,M,66,FATAL,Y,"White shark, 12' to 15'",4
USA,2008,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Cuts & punctures to right foot,N,other,4
AUSTRALIA,2008,New South Wales,Crescent Head,other,M,0,other,UNKNOWN,"Tiger shark, 2.3m ",4
USA,2008,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,30,Puncture wounds to right foot,N,1.5' to 2' shark,4
FIJI,2008,other,other,Spearfishing,M,0,Left forearm bitten ,N,other,4
USA,2008,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,15,Shin bitten,N,6' shark,3
USA,2008,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,UNKNOWN,0,Foot bitten,N,other,4
AUSTRALIA,2008,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,16,FATAL,Y,Bull shark,4
USA,2008,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,other,4
SOUTH AFRICA,2008,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,39,Right leg bitten,N,other,3
USA,2008,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,52,Foot bitten,N,4' to 5' shark,3
USA,2008,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,M,0,Right foot bitten,N,a small shark,3
USA,2008,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,13,Three small lacerations/ punctures to right foot,N,2.5' shark,3
USA,2008,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,14,Two 3-inch lacerations to right ankle,N,other,3
USA,2008,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,8,Minor injury,N,Shark involvement not confirmed,3
USA,2008,California," Huntington Beach, Orange County",Surfing,M,27,"No injury to surfer, surfboard bitten by the shark",N,White shark,3
BAHAMAS,2008,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,49,"Leg bitten, FATAL",Y,"A bull shark, according to some of the divers on the boat",2
FRENCH POLYNESIA,2008,Society Islands,Tahiti,Spearfishing,M,26,Lacerations to face,N,other,2
USA,2008,Florida,"Ponce Inlet, Volusia County",Surfing,M,25,Lacerations to foot,N,other,2
AUSTRALIA,2008,New South Wales,Horseshoe Bay,Surfing,F,14,Abrasions to elbow; collided with shark,N,1 m shark,2
USA,2008,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,M,0,Lacerations to foot,N,3' shark,2
SOUTH AFRICA,2008,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,42,"No injury to surf-skiier, shark holed ski",N,"Blacktip shark, 2m",1
USA,2008,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,20,Left foot bitten,N,a small shark,1
MEXICO,2008,Baja California,Playas de Tijuana,Surfing,M,26,Leg bitten,N,Possibly a hammerhead shark,0
ECUADOR,2007,Galapagos Islands,San Cristobal Island,Surfing,M,24,Lacerations & puncture wounds  to left thigh,N,3 m shark,12
AUSTRALIA,2007,New South Wales,Jimmy's Beach,Surfing,M,31,Severe lacerations to right buttock,N,2 m shark,12
AUSTRALIA,2007,Queensland,South Stradbroke Island,Swimming,M,teen,Lacerations to hand,N,"""a small shark""",12
USA,2007,Hawaii,"Waialua Bay, O'ahu",Surfing,M,52,"No injury, shark bit surfboard ",N,Tiger shark,12
NEW ZEALAND,2007,South Island,Kaikoura,Surfing,F,0,"No injury, shark bit surfboard & severed leash",N,other,12
BRAZIL,2007,Pernambuco,Itamaracá,Removing fish from a trap,M,28,20 cm injury to left foot,N,2.27 m shark,12
AUSTRALIA,2007,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,0,"No injury, teethmarks in board & torn wetsuit",N,other,11
SOUTH AFRICA,2007,Western Cape Province,The Strand,Surfing,M,14,Lacerations to feet,N,1.5 to 2 m shark,11
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cut to right knee,N,4' to 5' shark,11
USA,2007,Florida,"Round Island Park, Indian River County",Surfing,M,42,Lacerations to right leg,N,5' shark,11
SOUTH AFRICA,2007,Eastern Cape Province,Bonza Bay,Surfing,M,37,Lacerations to thigh,N,"White shark, 3m to 4m",11
USA,2007,Hawaii,"Wailea, Maui",Floating,M,32,Lacerations to left lower leg,N,Tiger shark,10
AUSTRALIA,2007,New South Wales,Byron Bay,Surf-skiing,F,52,small laceration to wrist,N,"White shark, 2.5m ",10
AUSTRALIA,2007,Queensland,Holmes Reef,Spearfishing,M,31,Laceration to calf,N,Bronze whaler shark,10
USA,2007,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,4 scratches on left hand,N,3' to 4' shark,10
USA,2007,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,16,Severe lacerations to right hand,N,"Blacktip shark, 5'",10
USA,2007,California,"Santa Monica, Los Angeles County",Surfing,M,0,Puncture wound to foot,N,other,9
NEW CALEDONIA,2007,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,23,FATAL,Y,Tiger shark,9
BAHAMAS,2007,Grand Bahama Island,Sweetings Cay,Spearfishing,F,48,Thigh bitten,N,Caribbean reef shark,9
USA,2007,California,"Moonstone Beach, Humboldt County",Surfing,F,0,"No injury to surfer, surfboard bitten",N,White shark,9
EGYPT,2007,Red Sea,Daedalus Reef ,Swimming,F,18 or 20,"Severe lacerations to lower left leg, ankle and foot",N,Oceanic whitetip sharks were in the vicinity,9
USA,2007,Florida,Huguenot Park,Surfing,F,0,Laceration to foot,N,4' shark,9
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Small lacerations to bottom of right big toe,N,3' shark,9
SOLOMON ISLANDS,2007,Marovo Lagoon,Kicha Island,Spearfishing,M,0,Left thigh bitten,N,Gray reef shark,9
USA,2007,Florida,"New Smyrna Beach, Volusia County",Wading?,M,56,Laceration to right heel,N,other,9
USA,2007,Florida,"Flagler Beach, Flagler County",Surfing,F,Teen,"No injury, surfboard bitten",N,9.5' shark?,9
USA,2007,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,"Nurse shark, 2' to 3' ",9
USA,2007,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,other,9
USA,2007,Florida,"Daytona Beach, Volusia County",Wading,F,36,Laceration to right big toe,N,other,9
USA,2007,South Carolina,Sullivan's Island,Standing,M,15,Lacerations to left calf and both feet ,N,other,9
USA,2007,Florida,"Daytona Beach, Volusia County",Jumping,F,12,Tiny punctures to arm,N,"18"" to 24"" shark",9
USA,2007,Florida,"Fort Lauderdale, Broward County",Swimming,M,58,"3"" laceration to left forearm",N,Possibly a spinner shark,9
USA,2007,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,15,Laceration to right heel,N,"Tiger shark, 10' to 12' ",8
USA,2007,California,"Marina State Beach, Monterey County",Surfing,M,24,Lacerations to thigh & torso,N,"White shark, 12'",8
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,54,Left hand  bitten,N,3' shark,8
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27, 6 lacerations to left hand,N,3' shark,8
USA,2007,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,52,Torso bitten,N,other,8
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot bitten,N,4' to 5' shark,8
USA,2007,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,7,Right calf bitten,N,other,8
USA,2007,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Possibly a 6' bull shark,8
USA,2007,Florida,"New Smyrna Beach, Volusia County",Swimming,F,15,"Minor injury, small lacerations to right foot",N,other,8
USA,2007,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,other,8
USA,2007,South Carolina,"Isle of Palms, Charleston County",Swimming,M,30,Lacerations to right foot,N,other,8
USA,2007,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,9,Lacerations to lower leg & ankle,N,other,8
USA,2007,Florida,"Islamorada, Monroe County",Jumped into the water,F,19,Lacerations to arm,N,Possibly a 10' bull shark,8
USA,2007,Florida,"Ponce Inlet, Volusia County",Surfing,M,51,Minor injury to shoulder,N,other,7
USA,2007,California,"Imperial Beach, San Diego County",Surfing,M,20,"No injury, shark bit surfboard",N,other,7
USA,2007,California,"Malibu, Los Angeles County",Surf paddling,M,0,"No injury, surfboard bumped by shark for 20 minutes",N,"White shark, 12' ",7
USA,2007,Hawaii,"Bellows Beach near Wailea Point, O’ahu",Snorkeling,M,36,Left calf severely bitten,N,other,7
AUSTRALIA,2007,Territory of Cocos (Keeling) Islands,Direction Island,Wading,M,15,Calf bitten,N,"Bronze whaler shark, 1.5 m ",7
USA,2007,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,14,Right calf bitten,N,2' to 3' shark,7
USA,2007,North Carolina,"Atlantic Beach, Carteret County",Wading,F,30,Lacerations to right thigh & left foot,N,5' shark,7
BAHAMAS,2007,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,"Bull shark, 5' ",7
USA,2007,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Right foot bitten,N,other,7
REUNION,2007,other,Boucan Canot,Body boarding,M,17,Minor injuries to thigh & knee ,N,2 m shark,7
USA,2007,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,0,Hand bitten,N,other,6
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,6 to 8 puncture wounds to right hand,N,4' shark,6
USA,2007,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,0,"No injury, board damaged",N,Tiger shark,6
USA,2007,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,0,Right foot bitten,N,3' to 4' shark,6
AUSTRALIA,2007,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,0,Lacerations to leg & ankle,N,other,6
USA,2007,South Carolina,Garden City,Wading,F,0,Lacerations to lower leg,N,other,5
AUSTRALIA,2007,Western Australia,"Warra Beach, Coral Bay",Wading,F,38,Left heel & calf bitten,N,2.5 m shark,5
AUSTRALIA,2007,Victoria,Warrnambool,Surfing,M,19,"No injury, shark's fin caught his leg",N,10' shark,5
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,Knee bitten,N,4' to 5' shark,5
SEYCHELLES,2007,Bird Island,other,Snorkeling,M,0,No injury,N,"White shark, 2m ",5
USA,2007,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,63,Right foot bitten,N,"Tiger shark, 14' ",5
USA,2007,Florida,Naples,Swimming,M,68,Circular bite on left thigh,N,6' to 8' shark,5
AUSTRALIA,2007,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,"""a small shark""",4
USA,2007,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,12,Left foot bitten,N,blacktip or spinner shark,4
USA,2007,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to left index finger & thumb ,N,3' to 4' shark,4
NEW CALEDONIA,2007,South Province,Dumbéa,Surfing,M,26,Left foot bitten,N,Tiger shark,4
